Steps,Policy/Entropy,Policy/Learning Rate,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss
60000,1.2103789,0.00029557504,0.0,0.77062756,1.3001235628784442,1.300123317833561,108.81506849315069,0.08979875,0.03336215
62000,1.1826763,0.00029542507,0.0,0.5036118,1.7088829559477985,1.708882679055038,132.89256198347107,0.1333371,0.03356214
64000,1.2440351,0.00029527507,0.0,0.6790992,2.3784677027227628,2.3784674513145556,174.32584269662922,0.16927026,0.034794867
66000,1.2155615,0.00029512506,0.0,0.8255456,2.3596981459241677,2.359697774860582,183.6590909090909,0.13785358,0.032987535
68000,1.181236,0.00029497503,0.0,0.8415099,2.1497520243401698,2.149751689787001,168.14285714285714,0.15518476,0.030504545
70000,1.2363325,0.0002948251,0.0,0.99483055,3.3465219156131467,3.3465213803987144,257.73770491803276,0.13959298,0.033796508
72000,1.2168453,0.00029467506,0.0,0.80919534,2.772263511153391,2.772263068590578,212.97260273972603,0.14788605,0.0299779
74000,1.1727908,0.00029452503,0.0,0.818276,3.6097934897989035,3.6097929307397862,270.9642857142857,0.12049816,0.034542788
76000,1.1341323,0.00029437506,0.0,0.9778052,4.621074521752788,4.621073999931547,327.39130434782606,0.17556435,0.031945188
78000,1.1316165,0.00029422503,0.0,1.0482919,3.977970516822582,3.9779700672258818,291.76666666666665,0.1508713,0.036513306
80000,1.10833,0.0002940751,0.0,0.78360635,2.0181717403888046,2.0181714630289807,161.3186813186813,0.12689422,0.034290947
82000,1.1250073,0.00029392506,0.0,0.7936984,3.4487672074163265,3.4487667341573225,263.94444444444446,0.13834362,0.03304698
84000,1.0751541,0.00029377505,0.0,0.9308809,3.6185004399236416,3.618500061283927,252.15384615384616,0.14801128,0.036584634
86000,1.0308384,0.00029362505,0.0,1.0307822,4.371191381232083,4.371190983644325,335.02272727272725,0.13561867,0.03283074
88000,1.0160694,0.00029347502,0.0,0.9883733,4.589227986817072,4.589227652668467,310.58620689655174,0.1748246,0.035817157
90000,1.0209769,0.00029332508,0.0,0.84900606,4.371106318627014,4.371105737794731,321.7358490566038,0.13577104,0.03115499
92000,0.9528601,0.00029317505,0.0,0.84648645,3.878268273271629,3.87826797755255,267.37735849056605,0.1718592,0.032324202
94000,0.93543583,0.00029302508,0.0,0.8903168,3.4802894590590667,3.480288962359514,252.73333333333332,0.1557876,0.035890583
96000,0.941714,0.00029287505,0.0,0.87154585,7.136965807848739,7.136964615560202,533.7777777777778,0.11508641,0.029773511
98000,0.950119,0.00029272505,0.0,0.85116524,6.3861479581876965,6.386146807317952,466.1666666666667,0.13434121,0.03437735
